epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1240.04,1.55933,2.18439,2.43812,1.14402,0,0.53283,0.48769,0.43981,0.30153,0.48199,0.45727,0.39113,0.25459,1.27797,1.66845,1.41501,0.98588,0,0.000222121,0.000222121,0.000222121
2,2408.52,1.30805,1.7512,1.5087,1.00983,0,0.61612,0.43581,0.41695,0.29815,0.57779,0.41801,0.38607,0.26823,1.21892,1.5381,1.18018,0.95441,0,0.000422454,0.000422454,0.000422454
3,3523.15,1.25475,1.66653,1.35891,0.98698,0,0.63296,0.48631,0.45966,0.33512,0.57893,0.46482,0.41762,0.29429,1.19239,1.50762,1.08915,0.94536,0,0.000600775,0.000600775,0.000600775
4,4756.75,1.21641,1.60701,1.26791,0.97436,0,0.66197,0.39983,0.38446,0.29025,0.61377,0.37488,0.34704,0.24517,1.10686,1.4878,1.01885,0.92324,0,0.00056795,0.00056795,0.00056795
5,6028.09,1.19706,1.57071,1.21842,0.96479,0,0.66977,0.43974,0.42434,0.32126,0.61647,0.41346,0.38666,0.27966,1.09231,1.46911,0.9494,0.91722,0,0.000534934,0.000534934,0.000534934
6,7286.25,1.15384,1.53645,1.16376,0.95655,0,0.67803,0.50589,0.48305,0.36736,0.62539,0.47828,0.43792,0.31438,1.08989,1.43575,0.94188,0.915,0,0.000501917,0.000501917,0.000501917
7,8519.35,1.14731,1.54158,1.13682,0.94996,0,0.67686,0.55115,0.54561,0.40882,0.61629,0.52058,0.49466,0.34966,1.07596,1.41871,0.93148,0.91229,0,0.000468901,0.000468901,0.000468901
8,9793.27,1.12966,1.4996,1.09767,0.94247,0,0.72941,0.61029,0.60414,0.46151,0.66943,0.5744,0.54535,0.39018,1.06656,1.40243,0.88345,0.90614,0,0.000435884,0.000435884,0.000435884
9,11002.7,1.11983,1.49767,1.0824,0.93968,0,0.73931,0.65535,0.65181,0.50189,0.68049,0.61784,0.59133,0.42395,1.04036,1.37334,0.87941,0.90241,0,0.000402868,0.000402868,0.000402868
10,12247,1.10372,1.4705,1.05117,0.93549,0,0.74517,0.69136,0.70562,0.54265,0.68599,0.64977,0.64112,0.46073,1.03926,1.36931,0.85712,0.89812,0,0.000369851,0.000369851,0.000369851
11,13523.1,1.10198,1.48246,0.97737,0.92191,0,0.74305,0.72046,0.73553,0.56468,0.68229,0.676,0.67047,0.48395,1.03456,1.40345,0.852,0.89888,0,0.000336835,0.000336835,0.000336835
12,14767.2,1.09566,1.47974,0.94544,0.91711,0,0.74069,0.70007,0.70024,0.54348,0.69001,0.64498,0.63464,0.46145,1.03142,1.35925,0.83098,0.89476,0,0.000303818,0.000303818,0.000303818
13,16032.6,1.07919,1.46198,0.92257,0.91325,0,0.75777,0.73941,0.75172,0.58425,0.70124,0.69231,0.68408,0.49753,1.01541,1.37059,0.80986,0.89417,0,0.000270802,0.000270802,0.000270802
14,17448.2,1.07678,1.44458,0.90879,0.91184,0,0.7577,0.70763,0.71652,0.5588,0.69051,0.66811,0.65152,0.47597,1.01262,1.34462,0.80868,0.88829,0,0.000237785,0.000237785,0.000237785
15,18817.5,1.06527,1.44196,0.89702,0.9084,0,0.76122,0.76535,0.77942,0.60526,0.70077,0.71522,0.70645,0.51538,1.01275,1.3483,0.79671,0.88943,0,0.000204769,0.000204769,0.000204769
16,20123.3,1.05375,1.42671,0.87783,0.90349,0,0.76586,0.73542,0.75375,0.58918,0.70012,0.6878,0.68253,0.49863,1.00363,1.33567,0.78319,0.8885,0,0.000171752,0.000171752,0.000171752
17,1111.87,1.04715,1.40239,0.86572,0.90124,0,0.77543,0.76679,0.78716,0.61741,0.71555,0.72019,0.71531,0.52407,0.99326,1.32212,0.77254,0.88496,0,0.000138736,0.000138736,0.000138736
18,2252.24,1.03672,1.40466,0.85587,0.89986,0,0.76491,0.68082,0.68672,0.54059,0.70438,0.64221,0.62735,0.46026,0.98089,1.33198,0.76398,0.88449,0,0.00010572,0.00010572,0.00010572
19,3355.22,1.0293,1.41139,0.83968,0.89665,0,0.77232,0.73335,0.74173,0.58471,0.71215,0.68904,0.67688,0.4963,0.97515,1.31782,0.75983,0.88304,0,7.2703e-05,7.2703e-05,7.2703e-05
20,4607.16,1.02214,1.38404,0.82857,0.89436,0,0.76562,0.65019,0.65406,0.51624,0.70384,0.60822,0.59258,0.43474,0.97397,1.31445,0.75288,0.88203,0,3.96865e-05,3.96865e-05,3.96865e-05
